generation,phase,best_fitness,P_noon_MW,P_per_area_noon_W_m2,P_full_estimated_MW,P_full_actual_MW,P_per_area_full_W_m2,constraint_estimated,constraint_actual,n_mirrors
0,1,-0.0005658734,65.1886,565.87,60.1662,60.5782,525.85,True,True,3200
1,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
2,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
3,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
4,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
5,1,-0.0005658734,65.1886,565.87,60.1662,60.5782,525.85,True,True,3200
6,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
7,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
8,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
9,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
10,1,-0.0005658734,65.1886,565.87,60.1662,60.5782,525.85,True,True,3200
11,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
12,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
13,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
14,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
15,1,-0.0005658734,65.1886,565.87,60.1662,60.5782,525.85,True,True,3200
16,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
17,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
18,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
19,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
20,1,-0.0005658734,65.1886,565.87,60.1662,60.5782,525.85,True,True,3200
21,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
22,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
23,1,-0.0005658734,65.1886,565.87,60.1662,,,True,,3200
24,1,-0.0005658734,65.1886,565.87,60.1662,60.5782,525.85,True,True,3200
0,2,-0.0005289348,,,,60.4513,528.93,,True,3210
1,2,-0.00052935,,,,60.1686,529.35,,True,3199
2,2,-0.000529879,,,,60.2718,529.88,,True,3196
3,2,-0.0005302032,,,,60.1246,530.2,,True,3194
4,2,-0.0005302032,,,,60.1246,530.2,,True,3194
5,2,-0.0005304407,,,,60.2698,530.44,,True,3193
6,2,-0.0005311156,,,,60.3897,531.12,,True,3197
7,2,-0.00053132,,,,60.5225,531.32,,True,3195
