variable,value,P_avg_MW,P_per_area_W_m2,eta_avg,n_mirrors,elapsed_s
x_t,-50.0,63.1040,563.4484,0.547488,3111,18.7
x_t,-40.0,63.4652,563.9545,0.547981,3126,18.5
x_t,-30.0,63.9064,564.4441,0.548460,3145,18.4
x_t,-20.0,64.3759,564.9981,0.548998,3165,18.9
x_t,-10.0,64.7620,565.3500,0.549339,3182,19.1
x_t,0.0,65.1886,565.8734,0.549852,3200,18.5
x_t,10.0,64.7400,565.3358,0.549326,3181,18.6
x_t,20.0,64.3309,564.9605,0.548963,3163,18.6
x_t,30.0,63.9359,564.5252,0.548541,3146,18.3
x_t,40.0,63.5205,564.0853,0.548115,3128,18.4
x_t,50.0,63.1136,563.5344,0.547576,3111,18.3
y_t,-50.0,65.0240,580.9654,0.564862,3109,18.0
y_t,-40.0,65.0878,578.0036,0.561913,3128,18.1
y_t,-30.0,65.1176,575.1423,0.559073,3145,18.6
y_t,-20.0,65.1356,572.0276,0.555974,3163,18.5
y_t,-10.0,65.1556,568.9651,0.552926,3181,21.3
y_t,0.0,65.1886,565.8734,0.549852,3200,21.5
y_t,10.0,64.3895,562.2752,0.546312,3181,21.5
y_t,20.0,63.6244,558.7561,0.542854,3163,21.3
y_t,30.0,62.8654,555.2500,0.539408,3145,20.7
y_t,40.0,62.0920,551.3997,0.535604,3128,20.2
y_t,50.0,61.2927,547.6274,0.531894,3109,20.5
W,5.0,53.4435,607.1402,0.591549,3521,22.4
W,5.2,55.3430,592.9047,0.577167,3452,22.4
W,5.4,57.4830,582.1898,0.566207,3386,22.0
W,5.6,59.9730,575.6790,0.559601,3322,23.7
W,5.8,62.6508,571.4607,0.555441,3259,20.9
W,6.0,65.1886,565.8734,0.549852,3200,20.9
W,6.2,58.4894,484.1163,0.470428,3143,20.4
W,6.4,60.3685,477.2802,0.463810,3088,20.1
W,6.6,62.3648,471.8851,0.458689,3034,20.7
W,6.8,64.2888,466.0839,0.453021,2983,20.7
W,7.0,55.4051,385.6464,0.374823,2932,21.1
h,2.0,68.5056,594.6669,0.579675,3200,24.9
h,2.2,67.8629,589.0880,0.573809,3200,24.3
h,2.4,67.0881,582.3616,0.566794,3200,23.4
h,2.6,66.4970,577.2310,0.561438,3200,23.2
h,2.8,65.9042,572.0847,0.556197,3200,23.3
h,3.0,65.1886,565.8734,0.549852,3200,24.1
h,3.2,64.7730,562.2652,0.546240,3200,24.6
h,3.4000000000000004,64.3661,558.7333,0.542655,3200,23.4
h,3.6,64.1950,557.2482,0.541315,3200,22.5
h,3.8,63.7234,553.1546,0.537300,3200,22.8
h,4.0,63.3994,550.3421,0.534658,3200,23.6
n_rings,22,59.9390,591.2539,0.576266,2816,18.9
n_rings,23,61.3407,578.7734,0.563132,2944,20.6
n_rings,24,63.0375,570.0003,0.553969,3072,21.6
n_rings,25,65.1886,565.8734,0.549852,3200,22.9
n_rings,26,67.8595,566.4025,0.550681,3328,24.0
n_rings,27,70.4906,566.5719,0.551161,3456,25.7
n_rings,28,73.1472,566.9273,0.551790,3584,26.7
